Date : 2023-08-17 08:43:57
Directory : /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club
Total : 255 files,  10722 codes, 149 comments, 1946 blanks, all 12817 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        245 |     10,368 |        145 |      1,932 |     12,445 |
| XML        |          4 |        206 |          4 |          2 |        212 |
| JSON       |          2 |         81 |          0 |          2 |         83 |
| CSS        |          3 |         46 |          0 |          9 |         55 |
| HTML       |          1 |         21 |          0 |          1 |         22 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                               |        255 |     10,722 |        149 |      1,946 |     12,817 |
| . (Files)                                                                                                                                                                       |          3 |         88 |         12 |          3 |        103 |
| netlify                                                                                                                                                                         |          3 |         70 |          0 |         16 |         86 |
| netlify/functions                                                                                                                                                               |          3 |         70 |          0 |         16 |         86 |
| public                                                                                                                                                                          |          1 |         32 |          0 |          1 |         33 |
| src                                                                                                                                                                             |        248 |     10,532 |        137 |      1,926 |     12,595 |
| src (Files)                                                                                                                                                                     |          7 |        388 |         46 |         47 |        481 |
| src/assets                                                                                                                                                                      |          4 |        206 |          4 |          2 |        212 |
| src/components                                                                                                                                                                  |         16 |        374 |          0 |         79 |        453 |
| src/components/custom-button                                                                                                                                                    |          1 |          5 |          0 |          3 |          8 |
| src/components/errors                                                                                                                                                           |          2 |         47 |          0 |         11 |         58 |
| src/components/loader                                                                                                                                                           |          1 |         10 |          0 |          3 |         13 |
| src/components/magic-url-button                                                                                                                                                 |          1 |         19 |          0 |          6 |         25 |
| src/components/private-routes                                                                                                                                                   |          1 |          9 |          0 |          5 |         14 |
| src/components/progressive-image                                                                                                                                                |          1 |         26 |          0 |          7 |         33 |
| src/components/social-logins                                                                                                                                                    |          8 |        239 |          0 |         39 |        278 |
| src/components/social-logins (Files)                                                                                                                                            |          2 |         91 |          0 |         20 |        111 |
| src/components/social-logins/sections                                                                                                                                           |          6 |        148 |          0 |         19 |        167 |
| src/components/wallet-balance                                                                                                                                                   |          1 |         19 |          0 |          5 |         24 |
| src/functions                                                                                                                                                                   |          4 |         23 |          0 |          8 |         31 |
| src/hooks                                                                                                                                                                       |          9 |        343 |          0 |         66 |        409 |
| src/routes                                                                                                                                                                      |        138 |      5,843 |          1 |      1,170 |      7,014 |
| src/routes/account                                                                                                                                                              |          6 |        186 |          0 |         52 |        238 |
| src/routes/account (Files)                                                                                                                                                      |          4 |        108 |          0 |         34 |        142 |
| src/routes/account/account-hooks                                                                                                                                                |          2 |         78 |          0 |         18 |         96 |
| src/routes/add-funds                                                                                                                                                            |         14 |        456 |          0 |        105 |        561 |
| src/routes/add-funds (Files)                                                                                                                                                    |          4 |        105 |          0 |         32 |        137 |
| src/routes/add-funds/add-funds-hooks                                                                                                                                            |          5 |        190 |          0 |         43 |        233 |
| src/routes/add-funds/card-input-styles                                                                                                                                          |          1 |         20 |          0 |          1 |         21 |
| src/routes/add-funds/errors-help-redirect                                                                                                                                       |          4 |        141 |          0 |         29 |        170 |
| src/routes/book-a-session                                                                                                                                                       |         25 |        895 |          1 |        209 |      1,105 |
| src/routes/book-a-session (Files)                                                                                                                                               |          1 |         32 |          0 |         12 |         44 |
| src/routes/book-a-session/book-a-session-hooks                                                                                                                                  |         12 |        377 |          0 |         98 |        475 |
| src/routes/book-a-session/book-a-session-hooks (Files)                                                                                                                          |          6 |        158 |          0 |         49 |        207 |
| src/routes/book-a-session/book-a-session-hooks/return-logic-and-reset-state                                                                                                     |          2 |         56 |          0 |         15 |         71 |
| src/routes/book-a-session/book-a-session-hooks/swals                                                                                                                            |          4 |        163 |          0 |         34 |        197 |
| src/routes/book-a-session/sections                                                                                                                                              |         12 |        486 |          1 |         99 |        586 |
| src/routes/book-a-session/sections (Files)                                                                                                                                      |          7 |        344 |          1 |         57 |        402 |
| src/routes/book-a-session/sections/buttons                                                                                                                                      |          5 |        142 |          0 |         42 |        184 |
| src/routes/close-account                                                                                                                                                        |          4 |        188 |          0 |         47 |        235 |
| src/routes/close-account (Files)                                                                                                                                                |          1 |         61 |          0 |         12 |         73 |
| src/routes/close-account/close-account-hooks                                                                                                                                    |          3 |        127 |          0 |         35 |        162 |
| src/routes/contact                                                                                                                                                              |          6 |        217 |          0 |         59 |        276 |
| src/routes/contact (Files)                                                                                                                                                      |          1 |         22 |          0 |         11 |         33 |
