Date : 2023-09-27 19:49:18
Directory : /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club
Total : 309 files,  13221 codes, 280 comments, 2444 blanks, all 15945 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src/routes/add-child-info/add-child-info-hooks                                                                                                                                  |          3 |        105 |          0 |         27 |        132 |
| src/routes/add-funds                                                                                                                                                            |         14 |        456 |          0 |        105 |        561 |
| src/routes/add-funds (Files)                                                                                                                                                    |          4 |        105 |          0 |         32 |        137 |
| src/routes/add-funds/add-funds-hooks                                                                                                                                            |          5 |        190 |          0 |         43 |        233 |
| src/routes/add-funds/card-input-styles                                                                                                                                          |          1 |         20 |          0 |          1 |         21 |
| src/routes/add-funds/errors-help-redirect                                                                                                                                       |          4 |        141 |          0 |         29 |        170 |
| src/routes/book-a-session                                                                                                                                                       |         29 |      1,221 |          1 |        262 |      1,484 |
| src/routes/book-a-session (Files)                                                                                                                                               |          1 |         38 |          0 |          8 |         46 |
| src/routes/book-a-session/book-a-session-hooks                                                                                                                                  |         12 |        545 |          0 |        120 |        665 |
| src/routes/book-a-session/book-a-session-hooks (Files)                                                                                                                          |          6 |        303 |          0 |         71 |        374 |
| src/routes/book-a-session/book-a-session-hooks/return-logic-and-reset-state                                                                                                     |          2 |         56 |          0 |         15 |         71 |
| src/routes/book-a-session/book-a-session-hooks/swals                                                                                                                            |          4 |        186 |          0 |         34 |        220 |
| src/routes/book-a-session/sections                                                                                                                                              |         16 |        638 |          1 |        134 |        773 |
| src/routes/book-a-session/sections (Files)                                                                                                                                      |         11 |        475 |          1 |         85 |        561 |
| src/routes/book-a-session/sections/buttons                                                                                                                                      |          5 |        163 |          0 |         49 |        212 |
| src/routes/child-info                                                                                                                                                           |          8 |        327 |          1 |         70 |        398 |
| src/routes/child-info (Files)                                                                                                                                                   |          5 |        254 |          0 |         45 |        299 |
| src/routes/child-info/child-info-hooks                                                                                                                                          |          3 |         73 |          1 |         25 |         99 |
| src/routes/close-account                                                                                                                                                        |          4 |        185 |          0 |         47 |        232 |
| src/routes/close-account (Files)                                                                                                                                                |          1 |         58 |          0 |         12 |         70 |
| src/routes/close-account/close-account-hooks                                                                                                                                    |          3 |        127 |          0 |         35 |        162 |
| src/routes/contact                                                                                                                                                              |          6 |        217 |          0 |         59 |        276 |
| src/routes/contact (Files)                                                                                                                                                      |          1 |         22 |          0 |         11 |         33 |
| src/routes/contact/contact-form-hooks                                                                                                                                           |          3 |        101 |          0 |         24 |        125 |
| src/routes/contact/sections                                                                                                                                                     |          2 |         94 |          0 |         24 |        118 |
| src/routes/dashboard                                                                                                                                                            |          4 |      1,032 |          0 |         24 |      1,056 |
| src/routes/dashboard (Files)                                                                                                                                                    |          1 |         17 |          0 |          4 |         21 |
| src/routes/dashboard/2023-24-dates                                                                                                                                              |          1 |        952 |          0 |          1 |        953 |
| src/routes/dashboard/dashboard-hooks                                                                                                                                            |          2 |         63 |          0 |         19 |         82 |
| src/routes/delete-child-info                                                                                                                                                    |          5 |        138 |          0 |         44 |        182 |
| src/routes/delete-child-info (Files)                                                                                                                                            |          3 |         63 |          0 |         23 |         86 |
| src/routes/delete-child-info/hooks                                                                                                                                              |          2 |         75 |          0 |         21 |         96 |
| src/routes/edit-child-info                                                                                                                                                      |          7 |        261 |          0 |         66 |        327 |
| src/routes/edit-child-info (Files)                                                                                                                                              |          3 |        118 |          0 |         29 |        147 |
| src/routes/edit-child-info/hooks                                                                                                                                                |          4 |        143 |          0 |         37 |        180 |
| src/routes/forgot-password-request                                                                                                                                              |          3 |        138 |          0 |         29 |        167 |
| src/routes/forgot-password-request (Files)                                                                                                                                      |          1 |         68 |          0 |         14 |         82 |
| src/routes/forgot-password-request/forgot-password-request-hooks                                                                                                                |          2 |         70 |          0 |         15 |         85 |
| src/routes/forgot-password-result                                                                                                                                               |          8 |        297 |          0 |         71 |        368 |
| src/routes/forgot-password-result (Files)                                                                                                                                       |          1 |         27 |          0 |         11 |         38 |
| src/routes/forgot-password-result/forgot-password-result-hooks                                                                                                                  |          4 |        147 |          0 |         33 |        180 |
| src/routes/forgot-password-result/sections                                                                                                                                      |          3 |        123 |          0 |         27 |        150 |
| src/routes/home                                                                                                                                                                 |          4 |         77 |          0 |         16 |         93 |
| src/routes/magic-url-request                                                                                                                                                    |          5 |        234 |          0 |         44 |        278 |
| src/routes/magic-url-request (Files)                                                                                                                                            |          2 |        150 |          0 |         20 |        170 |
| src/routes/magic-url-request/magic-url-request-hooks                                                                                                                            |          3 |         84 |          0 |         24 |        108 |
| src/routes/magic-url-result                                                                                                                                                     |          2 |         83 |          0 |         18 |        101 |
| src/routes/navigation                                                                                                                                                           |          9 |        356 |          0 |         78 |        434 |
| src/routes/navigation (Files)                                                                                                                                                   |          8 |        321 |          0 |         68 |        389 |
| src/routes/navigation/navigation-hooks                                                                                                                                          |          1 |         35 |          0 |         10 |         45 |
| src/routes/payment-result                                                                                                                                                       |          4 |        177 |          0 |         41 |        218 |
| src/routes/payment-result (Files)                                                                                                                                               |          1 |         24 |          0 |         11 |         35 |
| src/routes/payment-result/payment-result-hooks                                                                                                                                  |          3 |        153 |          0 |         30 |        183 |
| src/routes/sign-in                                                                                                                                                              |          8 |        215 |          0 |         71 |        286 |
| src/routes/sign-in (Files)                                                                                                                                                      |          1 |         53 |          0 |         13 |         66 |
| src/routes/sign-in/sections                                                                                                                                                     |          3 |         86 |          0 |         26 |        112 |
| src/routes/sign-in/sign-in-form-hooks                                                                                                                                           |          4 |         76 |          0 |         32 |        108 |
| src/routes/sign-up                                                                                                                                                              |          9 |        285 |          0 |         67 |        352 |
| src/routes/sign-up (Files)                                                                                                                                                      |          1 |         59 |          0 |         13 |         72 |
| src/routes/sign-up/sections                                                                                                                                                     |          4 |        130 |          0 |         24 |        154 |
| src/routes/sign-up/sign-up-form-hooks                                                                                                                                           |          4 |         96 |          0 |         30 |        126 |
| src/routes/social-login-result                                                                                                                                                  |          5 |        136 |          0 |         44 |        180 |
| src/routes/social-login-result (Files)                                                                                                                                          |          4 |        110 |          0 |         36 |        146 |
| src/routes/social-login-result/social-login-hooks                                                                                                                               |          1 |         26 |          0 |          8 |         34 |
| src/routes/update-email                                                                                                                                                         |          8 |        322 |          0 |         70 |        392 |
| src/routes/update-email (Files)                                                                                                                                                 |          4 |        168 |          0 |         35 |        203 |
| src/routes/update-email/update-email-hooks                                                                                                                                      |          4 |        154 |          0 |         35 |        189 |
| src/routes/update-password-request                                                                                                                                              |          6 |        219 |          0 |         55 |        274 |
| src/routes/update-password-request (Files)                                                                                                                                      |          4 |        139 |          0 |         34 |        173 |
| src/routes/update-password-request/update-password-request-hooks                                                                                                                |          2 |         80 |          0 |         21 |        101 |
| src/routes/update-password-result                                                                                                                                               |          8 |        339 |          0 |         71 |        410 |
| src/routes/update-password-result (Files)                                                                                                                                       |          4 |        152 |          0 |         36 |        188 |
| src/routes/update-password-result/update-password-result-hooks                                                                                                                  |          4 |        187 |          0 |         35 |        222 |
| src/store                                                                                                                                                                       |         62 |      2,611 |         52 |        415 |      3,078 |
| src/store (Files)                                                                                                                                                               |          2 |         72 |         49 |         15 |        136 |
| src/store/add-child-info                                                                                                                                                        |          2 |        102 |          0 |         14 |        116 |
| src/store/book-session                                                                                                                                                          |          3 |        258 |          0 |         33 |        291 |
| src/store/card-input-result                                                                                                                                                     |          2 |         30 |          0 |          8 |         38 |
| src/store/close-account                                                                                                                                                         |          2 |         66 |          0 |         12 |         78 |
| src/store/contact-form                                                                                                                                                          |          3 |        109 |          0 |         19 |        128 |
| src/store/date-and-time                                                                                                                                                         |          2 |         22 |          0 |          8 |         30 |
| src/store/delete-child-info                                                                                                                                                     |          2 |         95 |          0 |         16 |        111 |
| src/store/edit-child-info                                                                                                                                                       |          2 |         95 |          0 |         16 |        111 |
| src/store/forgot-password-request                                                                                                                                               |          2 |         94 |          0 |         13 |        107 |
| src/store/forgot-password-result                                                                                                                                                |          2 |         94 |          0 |         14 |        108 |
| src/store/get-users-children                                                                                                                                                    |          2 |         77 |          0 |         14 |         91 |
| src/store/hamburger-menu                                                                                                                                                        |          2 |         25 |          0 |          8 |         33 |
| src/store/handle-payment                                                                                                                                                        |          2 |        178 |          0 |         21 |        199 |
| src/store/is-online                                                                                                                                                             |          2 |         21 |          0 |          8 |         29 |
| src/store/magic-url-request                                                                                                                                                     |          2 |         99 |          0 |         13 |        112 |
| src/store/password-is-visible                                                                                                                                                   |          2 |        125 |          0 |         15 |        140 |
| src/store/progressive-image                                                                                                                                                     |          2 |         22 |          0 |          9 |         31 |
| src/store/request-date-data                                                                                                                                                     |          2 |        107 |          0 |         14 |        121 |
| src/store/session-types-and-prices                                                                                                                                              |          2 |        134 |          0 |         22 |        156 |
| src/store/should-show-element                                                                                                                                                   |          2 |         53 |          0 |          9 |         62 |
| src/store/sign-in-form                                                                                                                                                          |          2 |         29 |          0 |          8 |         37 |
| src/store/sign-up-form                                                                                                                                                          |          2 |         31 |          0 |          8 |         39 |
| src/store/update-email                                                                                                                                                          |          2 |         82 |          0 |         12 |         94 |
| src/store/update-password-request                                                                                                                                               |          2 |         74 |          0 |         12 |         86 |
| src/store/update-password-result                                                                                                                                                |          2 |         94 |          0 |         13 |        107 |
| src/store/upload-dates-to-database                                                                                                                                              |          2 |         76 |          0 |         13 |         89 |
| src/store/user                                                                                                                                                                  |          4 |        322 |          3 |         40 |        365 |
| src/store/wallet-funds-to-add                                                                                                                                                   |          2 |         25 |          0 |          8 |         33 |
| src/strings                                                                                                                                                                     |          1 |        239 |          6 |          7 |        252 |
| src/styles                                                                                                                                                                      |         15 |      1,318 |         20 |        259 |      1,597 |
| src/styles (Files)                                                                                                                                                              |          2 |         62 |          0 |          7 |         69 |
| src/styles/buttons                                                                                                                                                              |          1 |        151 |          0 |         27 |        178 |
| src/styles/container                                                                                                                                                            |          1 |         13 |          0 |          4 |         17 |
| src/styles/div                                                                                                                                                                  |          1 |        368 |         12 |         67 |        447 |
| src/styles/form                                                                                                                                                                 |          1 |        369 |          7 |         77 |        453 |
| src/styles/h1                                                                                                                                                                   |          1 |          8 |          0 |          3 |         11 |
| src/styles/h2                                                                                                                                                                   |          1 |          6 |          0 |          2 |          8 |
| src/styles/hr                                                                                                                                                                   |          1 |         13 |          0 |          4 |         17 |
| src/styles/image                                                                                                                                                                |          1 |         64 |          0 |         14 |         78 |
| src/styles/link                                                                                                                                                                 |          1 |         17 |          0 |          6 |         23 |
| src/styles/p                                                                                                                                                                    |          1 |         34 |          0 |          9 |         43 |
| src/styles/span                                                                                                                                                                 |          1 |        137 |          0 |         24 |        161 |
| src/styles/svg                                                                                                                                                                  |          1 |         28 |          0 |          6 |         34 |
| src/styles/tables                                                                                                                                                               |          1 |         48 |          1 |          9 |         58 |
| src/utils                                                                                                                                                                       |          2 |         12 |          1 |          7 |         20 |
| src/utils/appwrite                                                                                                                                                              |          1 |          8 |          1 |          5 |         14 |
| src/utils/stripe                                                                                                                                                                |          1 |          4 |          0 |          2 |          6 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                        | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/index.html                                                                                                          | HTML       |         21 |          0 |          1 |         22 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/netlify/functions/create-payment-intent.js                                                                          | JavaScript |         23 |          0 |          6 |         29 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/netlify/functions/send-account-closure-message.js                                                                   | JavaScript |         24 |          0 |          5 |         29 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/netlify/functions/send-contact-form-message.js                                                                      | JavaScript |         23 |          0 |          5 |         28 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/package.json                                                                                                        | JSON       |         51 |          0 |          1 |         52 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/public/manifest.json                                                                                                | JSON       |         32 |          0 |          1 |         33 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/App.css                                                                                                         | CSS        |          3 |          0 |          1 |          4 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/App.jsx                                                                                                         | JavaScript |        180 |          0 |         11 |        191 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/assets/arrow-left-1.svg                                                                                         | XML        |         16 |          0 |          0 |         16 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/assets/crayons.svg                                                                                              | XML        |        152 |          0 |          1 |        153 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/assets/loader.svg                                                                                               | XML        |          8 |          0 |          0 |          8 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/assets/pencil.svg                                                                                               | XML        |         45 |          0 |          1 |         46 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/assets/stripe-logo.svg                                                                                          | XML        |          1 |          4 |          0 |          5 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/custom-button/custom-button.component.jsx                                                            | JavaScript |          5 |          0 |          3 |          8 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/errors/error-fallback.component.jsx                                                                  | JavaScript |          8 |          0 |          3 |         11 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/errors/network-error.component.jsx                                                                   | JavaScript |         39 |          0 |          8 |         47 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/floating-add-button/floating-add-button.component.jsx                                                | JavaScript |         11 |          0 |          4 |         15 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/floating-back-button/floating-back-button.component.jsx                                              | JavaScript |         53 |          0 |         11 |         64 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/floating-back-button/use-back-button.js                                                              | JavaScript |         24 |          0 |          8 |         32 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/loader/loader.component.jsx                                                                          | JavaScript |         10 |          0 |          3 |         13 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/magic-url-button/magic-url-button.component.jsx                                                      | JavaScript |         19 |          0 |          6 |         25 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/private-routes/private-routes.component.jsx                                                          | JavaScript |          9 |          0 |          5 |         14 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/progressive-image/progressive-image.component.jsx                                                    | JavaScript |         26 |          0 |          7 |         33 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/social-logins/sections/brave.component.jsx                                                           | JavaScript |         22 |          0 |          3 |         25 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/social-logins/sections/chrome.component.jsx                                                          | JavaScript |         19 |          0 |          3 |         22 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/social-logins/sections/firefox.component.jsx                                                         | JavaScript |         18 |          0 |          3 |         21 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/social-logins/sections/info.component.jsx                                                            | JavaScript |         44 |          0 |          4 |         48 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/social-logins/sections/safari.component.jsx                                                          | JavaScript |         29 |          0 |          3 |         32 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/social-logins/sections/troubleshooting.component.jsx                                                 | JavaScript |         16 |          0 |          3 |         19 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/social-logins/social-logins-info.component.jsx                                                       | JavaScript |         49 |          0 |          8 |         57 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/social-logins/social-logins.component.jsx                                                            | JavaScript |         42 |          0 |         12 |         54 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/tables/default-table.component.jsx                                                                   | JavaScript |         49 |          0 |          3 |         52 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/tables/no-search-result.component.jsx                                                                | JavaScript |          0 |         17 |          3 |         20 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/tables/searching-dates-help.component.jsx                                                            | JavaScript |          0 |         59 |          4 |         63 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/tables/table-checkbox.jsx                                                                            | JavaScript |         14 |          0 |          5 |         19 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/tables/table-no-entries-info.component.jsx                                                           | JavaScript |         14 |          0 |          3 |         17 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/tables/table-search-box.component.jsx                                                                | JavaScript |          0 |         61 |         13 |         74 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/components/wallet-balance/wallet-balance.component.jsx                                                          | JavaScript |         19 |          0 |          5 |         24 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/functions/capitalize-string.js                                                                                  | JavaScript |          8 |          0 |          2 |         10 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/functions/create-session-types-and-prices-object.js                                                             | JavaScript |         30 |          0 |          1 |         31 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/functions/open-email-link.js                                                                                    | JavaScript |          7 |          0 |          3 |         10 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/functions/price-multiplied-by-100.js                                                                            | JavaScript |          3 |          0 |          1 |          4 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/functions/validate-email.js                                                                                     | JavaScript |          4 |          0 |          1 |          5 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/global-styles.js                                                                                                | JavaScript |         56 |          0 |          7 |         63 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-cancel-and-return.js                                                                                  | JavaScript |         27 |          0 |          7 |         34 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-confirm-swal.js                                                                                       | JavaScript |         72 |          0 |          7 |         79 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-fire-swal.js                                                                                          | JavaScript |         33 |          0 |          5 |         38 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-get-user-on-load.js                                                                                   | JavaScript |         17 |          0 |          5 |         22 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-get-window-width.js                                                                                   | JavaScript |         22 |          0 |          8 |         30 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-hamburger-handler-navigate.js                                                                         | JavaScript |         32 |          0 |          9 |         41 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-is-mobile-device.js                                                                                   | JavaScript |         34 |          0 |          7 |         41 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-is-online.js                                                                                          | JavaScript |         34 |          0 |          9 |         43 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-is-route-with-nav-warning.js                                                                          | JavaScript |         19 |          0 |          6 |         25 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-reset-store.js                                                                                        | JavaScript |        103 |          0 |          7 |        110 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-session-prices-listener.js                                                                            | JavaScript |         39 |          0 |          9 |         48 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-wallet-balance-listener.js                                                                            | JavaScript |         25 |          0 |          8 |         33 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/index.css                                                                                                       | CSS        |         12 |          0 |          2 |         14 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/main.jsx                                                                                                        | JavaScript |         25 |          0 |          3 |         28 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/account/account-button-links.component.jsx                                                               | JavaScript |         37 |          0 |          8 |         45 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/account/account-hooks/use-check-for-and-clear-form-details.js                                            | JavaScript |         44 |          0 |          8 |         52 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/account/account-hooks/use-navigate-to-route.js                                                           | JavaScript |         71 |          0 |          7 |         78 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/account/account-stripe-logo.component.jsx                                                                | JavaScript |         22 |          0 |          7 |         29 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/account/account.component.jsx                                                                            | JavaScript |         21 |          0 |          8 |         29 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/account/intro.component.jsx                                                                              | JavaScript |         16 |          0 |          7 |         23 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-child-info/add-child-info-button.component.jsx                                                       | JavaScript |         33 |          0 |         10 |         43 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-child-info/add-child-info-form.component.jsx                                                         | JavaScript |         78 |          0 |         16 |         94 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-child-info/add-child-info-hooks/use-add-child-info-result-swal.js                                    | JavaScript |         55 |          0 |         10 |         65 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-child-info/add-child-info-hooks/use-confirm-add-child-info.js                                        | JavaScript |         37 |          0 |         11 |         48 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-child-info/add-child-info-hooks/use-handle-add-child-info-change.js                                  | JavaScript |         13 |          0 |          6 |         19 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-child-info/add-child-info.component.jsx                                                              | JavaScript |         22 |          0 |         10 |         32 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds-button.component.jsx                                                                 | JavaScript |         18 |          0 |          5 |         23 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds-hooks/use-clear-card-input-on-zero-wallet-funds.js                                   | JavaScript |         31 |          0 |          7 |         38 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds-hooks/use-get-payment-result.js                                                      | JavaScript |         86 |          0 |         15 |        101 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds-hooks/use-handle-card-input-change.js                                                | JavaScript |         35 |          0 |          6 |         41 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds-hooks/use-handle-wallet-funds-change.js                                              | JavaScript |         19 |          0 |          8 |         27 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds-hooks/use-should-show-add-funds-button.component.js                                  | JavaScript |         19 |          0 |          7 |         26 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds.component.jsx                                                                        | JavaScript |         25 |          0 |          8 |         33 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/card-input-styles/card-input-styles.js                                                         | JavaScript |         20 |          0 |          1 |         21 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/card-input.component.jsx                                                                       | JavaScript |         35 |          0 |         10 |         45 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/choose-wallet-funds-to-add.component.jsx                                                       | JavaScript |         27 |          0 |          9 |         36 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/errors-help-redirect/add-funds-error.component.jsx                                             | JavaScript |         40 |          0 |          7 |         47 |
| /Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/errors-help-redirect/add-funds-help.component.jsx                                              | JavaScript |         56 |          0 |          7 |         63 |
